Date,CHL (P2.5),CHL (P50),CHL (P97.5)
01 Jan 2017,1.5794371328081259e-06,1.6839024766202384e-06,1.7883678204323509e-06
01 Feb 2017,1.9598672989107627e-06,2.1892149498526022e-06,2.4185626007944422e-06
01 Mar 2017,1.8994066645129934e-06,2.081985152046386e-06,2.2645636395797786e-06
01 Apr 2017,5.965281856623262e-07,8.848113854392794e-07,1.1730945852162327e-06
01 May 2017,8.124772999262188e-07,9.060903193014664e-07,9.99703338676714e-07
01 Jun 2017,3.964078871261931e-07,5.733371554139171e-07,7.502664237016411e-07
01 Jul 2017,4.247253800259198e-07,6.207313013101282e-07,8.167372225943364e-07
01 Aug 2017,5.045973620937609e-07,5.38505628708713e-07,5.72413895323665e-07
01 Sep 2017,7.525548485104853e-07,7.940171111536046e-07,8.35479373796724e-07
01 Oct 2017,1.0829433056611206e-06,1.2357741185892438e-06,1.388604931517367e-06
01 Nov 2017,1.7489915016919076e-06,1.7931398637423438e-06,1.83728822579278e-06
01 Dec 2017,1.9454589831525043e-06,1.956750883430464e-06,1.968042783708424e-06
01 Jan 2018,1.7213253989952277e-06,1.7915553272013298e-06,1.861785255407432e-06
01 Feb 2018,1.619859980385006e-06,1.7112092289436873e-06,1.8025584775023684e-06
01 Mar 2018,1.3839477725498132e-06,1.519337526366329e-06,1.6547272801828446e-06
01 Apr 2018,5.155112340124698e-07,8.403920180636843e-07,1.1652728021148989e-06
01 May 2018,4.748082530276541e-07,7.561641646904918e-07,1.0375200763533294e-06
01 Jun 2018,3.4095089448956213e-07,5.775217541068735e-07,8.140926137241849e-07
01 Jul 2018,3.971860134678153e-07,4.6565691510292565e-07,5.34127816738036e-07
01 Aug 2018,4.224817257788282e-07,4.874192083483207e-07,5.523566909178133e-07
01 Sep 2018,7.796490858012945e-07,8.073625111057841e-07,8.350759364102737e-07
01 Oct 2018,1.0281263754139126e-06,1.1128302853137535e-06,1.1975341952135942e-06
01 Nov 2018,1.7540728744784376e-06,1.819545297590636e-06,1.8850177207028348e-06
01 Dec 2018,1.6888179461759172e-06,1.7731325531830593e-06,1.8574471601902014e-06
01 Jan 2019,1.5404473396417556e-06,1.6403524735654244e-06,1.7402576074890933e-06
01 Feb 2019,1.4972258001704152e-06,1.5720410799940952e-06,1.6468563598177754e-06
01 Mar 2019,1.4448153421962492e-06,1.4535874084838083e-06,1.4623594747713676e-06
01 Apr 2019,5.743100866442322e-07,7.187078408167526e-07,8.631055949892732e-07
01 May 2019,2.559477792354509e-07,4.0715733075543534e-07,5.583668822754197e-07
01 Jun 2019,3.0437232381835424e-07,3.586926656611267e-07,4.130130075038991e-07
01 Jul 2019,3.298162115612652e-07,3.4975252438647833e-07,3.6968883721169147e-07
01 Aug 2019,3.9452048375017353e-07,4.0489678911227097e-07,4.1527309447436835e-07
01 Sep 2019,6.974436031986902e-07,7.175261729566181e-07,7.376087427145461e-07
01 Oct 2019,1.1901847936338748e-06,1.1963620209360112e-06,1.2025392482381473e-06
01 Nov 2019,1.6205058891754348e-06,1.6808680519476225e-06,1.74123021471981e-06
01 Dec 2019,1.7483262924706705e-06,1.7700347727690233e-06,1.7917432530673762e-06
01 Jan 2020,1.4243635058321192e-06,1.6691254230413657e-06,1.9138873402506123e-06
01 Feb 2020,1.5635954758553406e-06,1.7111428632677805e-06,1.8586902506802205e-06
01 Mar 2020,1.5862768521739326e-06,1.74392205605776e-06,1.901567259941587e-06
01 Apr 2020,4.784734591328636e-07,5.558818192336655e-07,6.332901793344674e-07
01 May 2020,3.010202917290971e-07,4.4745396700900226e-07,5.938876422889074e-07
01 Jun 2020,3.9564310958649717e-07,4.392422156111545e-07,4.828413216358119e-07
01 Jul 2020,4.015064914503499e-07,5.288534598201043e-07,6.562004281898585e-07
01 Aug 2020,4.377232246243815e-07,5.145515034690467e-07,5.91379782313712e-07
01 Sep 2020,7.327219824746658e-07,7.837565687296558e-07,8.347911549846457e-07
01 Oct 2020,1.2176661853274937e-06,1.2512617808753535e-06,1.2848573764232132e-06
01 Nov 2020,1.6140830810065432e-06,1.6241409784009969e-06,1.6341988757954503e-06
01 Dec 2020,1.7754705131316114e-06,1.7843278996583675e-06,1.7931852861851235e-06
01 Jan 2021,1.7459020958507552e-06,1.8455390407447445e-06,1.9451759856387336e-06
01 Feb 2021,1.850655153296636e-06,2.028962193250491e-06,2.207269233204346e-06
01 Mar 2021,1.3431912516564097e-06,1.4255544464494707e-06,1.5079176412425317e-06
01 Apr 2021,6.275650409933659e-07,6.354011380147674e-07,6.432372350361688e-07
01 May 2021,4.988074492902185e-07,6.711564488757486e-07,8.435054484612789e-07
01 Jun 2021,4.279760216520099e-07,5.418955296806968e-07,6.558150377093837e-07
01 Jul 2021,3.992412273937169e-07,5.300059643270805e-07,6.607707012604443e-07
01 Aug 2021,4.36634727421146e-07,5.54445981500832e-07,6.722572355805179e-07
01 Sep 2021,7.72191741043075e-07,8.490403677175233e-07,9.258889943919718e-07
01 Oct 2021,1.235962147633162e-06,1.3601892270190833e-06,1.4844163064050048e-06
